Species,Month
Empidonax_alnorum,Aug
Empidonax_alnorum,Aug
Empidonax_alnorum,Aug
Empidonax_alnorum,Aug
Empidonax_alnorum,May
Empidonax_alnorum,May
Empidonax_alnorum,May
Empidonax_alnorum,Sep
Empidonax_alnorum,Sep
Empidonax_alnorum,Sep
Empidonax_alnorum,Sep
Empidonax_alnorum,Sep
Empidonax_alnorum,Sep
Empidonax_alnorum,Sep
Empidonax_alnorum,Sep
Empidonax_alnorum,Sep
Empidonax_alnorum,Sep
Eremophila_alpestris,Mar
Eremophila_alpestris,Mar
Eremophila_alpestris,Mar
Eremophila_alpestris,Mar
Eremophila_alpestris,May
Eremophila_alpestris,Nov
Calidris_alpina,Apr
Calidris_alpina,Apr
Calidris_alpina,Apr
Calidris_alpina,Apr
Calidris_alpina,Aug
Calidris_alpina,Aug
Calidris_alpina,Aug
Calidris_alpina,Aug
Calidris_alpina,Aug
Calidris_alpina,Dec
Calidris_alpina,Feb
Calidris_alpina,Feb
Calidris_alpina,Feb
Calidris_alpina,Jan
Calidris_alpina,Jul
Calidris_alpina,Jul
Calidris_alpina,May
Calidris_alpina,Nov
Calidris_alpina,Nov
Calidris_alpina,Oct
Calidris_alpina,Oct
Calidris_alpina,Oct
Calidris_alpina,Sep
Vireo_altiloquus,Apr
Vireo_altiloquus,Apr
Vireo_altiloquus,Apr
Vireo_altiloquus,Apr
Ceryle_alycon,Oct
Certhia_americana,Dec
Certhia_americana,Dec
Certhia_americana,Oct
Fulica_americana,Jan
Fulica_americana,Jan
Fulica_americana,Mar
Fulica_americana,Nov
Fulica_americana,Oct
Fulica_americana,Oct
Fulica_americana,Oct
Parula_americana,Mar
Parula_americana,Mar
Parula_americana,Apr
Parula_americana,Apr
Parula_americana,Apr
Parula_americana,Apr
Parula_americana,Apr
Parula_americana,Feb
Parula_americana,Jan
Parula_americana,Jun
Parula_americana,Jun
Parula_americana,Jun
Parula_americana,Mar
Parula_americana,Mar
Parula_americana,Mar
Parula_americana,May
Parula_americana,May
Parula_americana,Nov
Parula_americana,Oct
Parula_americana,Oct
Parula_americana,Oct
Parula_americana,Oct
Parula_americana,Oct
Parula_americana,Sep
Parula_americana,Sep
Parula_americana,Sep
Parula_americana,Sep
Recurvirostra_americana,Nov
Recurvirostra_americana,Nov
Recurvirostra_americana,Nov
Recurvirostra_americana,Oct
Recurvirostra_americana,Sep
Setophaga_americana,May
Setophaga_americana,Oct
Spiza_americana,Apr
Spiza_americana,Dec
Spiza_americana,Dec
Spiza_americana,Mar
Spiza_americana,Oct
Spiza_americana,Oct
Coccyzus_americanus,Apr
Coccyzus_americanus,Apr
Coccyzus_americanus,Apr
Coccyzus_americanus,Apr
Coccyzus_americanus,Apr
Coccyzus_americanus,Apr
Coccyzus_americanus,Apr
Coccyzus_americanus,Apr
Coccyzus_americanus,Apr
Coccyzus_americanus,Apr
Coccyzus_americanus,Apr
Coccyzus_americanus,Apr
Coccyzus_americanus,Aug
Coccyzus_americanus,Aug
Coccyzus_americanus,Aug
Coccyzus_americanus,Aug
Coccyzus_americanus,Jul
Coccyzus_americanus,Jun
Coccyzus_americanus,Jun
Coccyzus_americanus,Jun
Coccyzus_americanus,Jun
Coccyzus_americanus,Jun
Coccyzus_americanus,Jun
Coccyzus_americanus,Jun
Coccyzus_americanus,Jun
Coccyzus_americanus,Jun
Coccyzus_americanus,May
Coccyzus_americanus,May
Coccyzus_americanus,May
Coccyzus_americanus,May
Coccyzus_americanus,May
Coccyzus_americanus,May
Coccyzus_americanus,May
Coccyzus_americanus,May
Coccyzus_americanus,May
Coccyzus_americanus,May
Coccyzus_americanus,Nov
Coccyzus_americanus,Oct
Coccyzus_americanus,Oct
Coccyzus_americanus,Oct
Coccyzus_americanus,Oct
Coccyzus_americanus,Oct
Coccyzus_americanus,Oct
Coccyzus_americanus,Oct
Coccyzus_americanus,Sep
Coccyzus_americanus,Sep
Numenius_americanus,Aug
Numenius_americanus,Oct
Numenius_americanus,Sep
Sterna_anaethetus,Aug
Sterna_anaethetus,Aug
Sterna_anaethetus,Aug
Sterna_anaethetus,Aug
Sterna_anaethetus,Aug
Sterna_anaethetus,Aug
Sterna_anaethetus,Aug
Sterna_anaethetus,Aug
Sterna_anaethetus,Aug
Sterna_anaethetus,Aug
